#,Company,Email,Person,Title,City,Notes
,CodeTrade India,pratik@codetrade.io,Pratik,Office Contact,Ahmedabad,Ahmedabad SME; VERIFIED printed on codetrade.io/contact-us (cf-decoded); MX OK
,Technostacks Infotech,hr@technostacks.com,HR Team,Recruitment,Ahmedabad,Ahmedabad SME; VERIFIED printed on technostacks.com/contact-us (mailto); MX OK
,Concord Biotech,ravirajkaria@concordbiotech.com,Raviraj Karia,Chief Financial Officer (KMP),Ahmedabad,Ahmedabad; VERIFIED named KMP w/ email printed on concordbiotech.com/investors; MX OK
,Symphony Ltd,companysecretary@symphonylimited.com,Company Secretary,Company Secretary,Ahmedabad,Ahmedabad; VERIFIED printed on symphonylimited.com/investors (cf-decoded); MX OK
,Symphony Ltd,investors@symphonylimited.com,Investor Relations,Investor Relations,Ahmedabad,Ahmedabad; VERIFIED printed on symphonylimited.com/investors (cf-decoded); MX OK
,Brainvire Infotech,careers@brainvire.com,Careers Desk,Recruitment,Ahmedabad,Ahmedabad software dev; VERIFIED printed on brainvire.com/careers; MX OK
,Azilen Technologies,info@azilen.com,Corporate Office,General,Ahmedabad,Ahmedabad product engineering; VERIFIED printed on azilen.com; MX OK
,eSparkBiz Technologies,career@esparkinfo.com,Careers Desk,Recruitment,Ahmedabad,Ahmedabad software dev; VERIFIED printed on esparkinfo.com; MX OK
,eSparkBiz Technologies,hr@esparkinfo.com,HR Desk,Recruitment,Ahmedabad,Ahmedabad software dev; VERIFIED printed on esparkinfo.com; MX OK
,iView Labs,hr@iviewlabs.com,HR Desk,Recruitment,Ahmedabad,Ahmedabad software/product dev; VERIFIED printed on iviewlabs.com/career; MX OK
,iView Labs,info@iviewlabs.com,Corporate Office,General,Ahmedabad,Ahmedabad software/product dev; VERIFIED printed on iviewlabs.com; MX OK
,InheritX Solutions,contact@inheritx.com,Contact Desk,General,Ahmedabad,Ahmedabad software/mobile dev; VERIFIED printed on inheritx.com; MX OK
,Kody Technolab,hiring@kodytechnolab.com,Careers Desk,Recruitment,Ahmedabad,Ahmedabad software/app dev; VERIFIED printed on kodytechnolab.com/career; MX OK
,Concetto Labs,career@concettolabs.com,Careers Desk,Recruitment,Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on concettolabs.com; MX OK
,Shiv Technolabs,contact@shivlab.com,Contact Desk,General,Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on shivlab.com; MX OK
,Weboccult Technologies,career@weboccult.com,Careers Desk,Recruitment,Ahmedabad,Ahmedabad AI/software dev; VERIFIED printed on weboccult.com; MX OK
,Techuz InfoWeb,careers@techuz.com,Careers Desk,Recruitment,Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on techuz.com/careers; MX OK
,Techuz InfoWeb,hr@techuz.com,HR Desk,Recruitment,Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on techuz.com; MX OK
,Prakash Software Solutions,career@prakashinfotech.com,Careers Desk,Recruitment,Ahmedabad,Vadodara/Ahmedabad software dev; VERIFIED printed on prakashinfotech.com; MX OK
,Prakash Software Solutions,hr@prakashinfotech.com,HR Desk,Recruitment,Ahmedabad,Vadodara/Ahmedabad software dev; VERIFIED printed on prakashinfotech.com; MX OK
,Zealous System,info@zealousys.com,Corporate Office,General,Ahmedabad,Ahmedabad software/product dev; VERIFIED printed on zealousys.com; MX OK
,SilverWebBuzz,hr@silverwebbuzz.com,HR Desk,Recruitment,Ahmedabad,Ahmedabad web/digital dev; VERIFIED printed on silverwebbuzz.com/career; MX OK
,SilverWebBuzz,info@silverwebbuzz.com,Corporate Office,General,Ahmedabad,Ahmedabad web/digital dev; VERIFIED printed on silverwebbuzz.com; MX OK
,SolGuruz,hello@solguruz.com,Contact Desk,General,Ahmedabad,Ahmedabad software/app dev; VERIFIED printed on solguruz.com; MX OK
,HK Infosoft,career@hkinfosoft.com,Careers Desk,Recruitment,Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on hkinfosoft.com; MX OK
,HK Infosoft,hello@hkinfosoft.com,Contact Desk,General,Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on hkinfosoft.com; MX OK
,Rlogical Techsoft,contact@rlogical.com,Contact Desk,General,Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on rlogical.com; MX OK
,Spaculus Software,hr@spaculus.com,HR Desk,Recruitment,Ahmedabad,Ahmedabad software/app dev; VERIFIED printed on spaculus.com; MX OK
,Spaculus Software,info@spaculus.com,Corporate Office,General,Ahmedabad,Ahmedabad software/app dev; VERIFIED printed on spaculus.com; MX OK
,Cleardeals,nikunj@cleardeals.co.in,Nikunj Sadhu,Business Development Executive,Ahmedabad,alt: nikunjsadhu28@gmail.com; Ahmedabad
,HFCL Satellite Communications Limited.,vu2dhr@yahoo.com,Dhiraj Kumar,HR Head,Ahmedabad,DataNiti-HR-Head
,Hidden Brains,biz@hiddenbrains.com,Business Desk,General,Ahmedabad,Ahmedabad Web/App Dev Agency; verified on hiddenbrains.com site; MX OK
