#,Company,Email,Person,Title,City,Notes
,Codiant Software,info@codiant.com,Info Team,General,Indore,Indore; VERIFIED general email (published on codiant.com/contact-us); MX OK
,Chapter247 Infotech,askus@chapter247.com,Contact Team,General,Indore,Indore; VERIFIED general email (published); MX OK
,Chapter247 Infotech,sourabh@chapter247.com,Sourabh Kothari,Co-Founder,Indore,Indore; VERIFIED co-founder email (published on chapter247.com); MX OK
,Mango IT Solutions,info@mangoitsolutions.com,Info Team,General,Indore,Indore; VERIFIED general email (published); MX OK
,Tekshapers,info@tekshapers.com,Info Team,General,Indore,Indore; VERIFIED general email (published); MX OK
,Astral Ltd,indore@astralpipes.com,Indore Branch,Branch Office,Indore,Indore; VERIFIED published on astralpipes.com contact page; MX OK
,Rajratan Global Wire,rajratan@rajratan.co.in,Corporate Office,General,Indore,Indore India; VERIFIED printed on rajratan.co.in/contact-us (mailto); MX OK
,Systango Technologies,careers@systango.com,Careers Desk,Recruitment,Indore,Indore SME; VERIFIED printed on systango.com/contact-us; MX OK
,Systango Technologies,hello@systango.com,Contact Desk,General,Indore,Indore SME; VERIFIED printed on systango.com/contact-us; MX OK
,Systango Technologies,genai@systango.com,GenAI Desk,Business,Indore,Indore SME; VERIFIED printed on systango.com/contact-us; MX OK
,Softude,info@softude.com,Corporate Office,General,Indore,Indore SME; VERIFIED printed on softude.com/contact-us (mailto); MX OK
,Yash Technologies,info@yash.com,Corporate Office,General,Indore,Indore IT services (HQ); VERIFIED printed on yash.com; MX OK
,CDN Solutions Group,careers@cdnsol.com,Careers Desk,Recruitment,Indore,Indore software dev; VERIFIED printed on cdnsol.com; MX OK
,CDN Solutions Group,contact@cdnsol.com,Contact Desk,General,Indore,Indore software dev; VERIFIED printed on cdnsol.com; MX OK
,MoreYeahs,info@moreyeahs.com,Corporate Office,General,Indore,Indore Salesforce/CRM & software dev; VERIFIED printed on moreyeahs.com; MX OK
,Codeplateau Technology,info@codeplateau.com,Corporate Office,General,Indore,Indore software/AI dev; VERIFIED printed on codeplateau.com; MX OK
,AppWRK IT Solutions,contact@appwrk.com,Contact Desk,General,Indore,Indore/Chandigarh software dev; VERIFIED printed on appwrk.com; MX OK
,CDN Solutions Group,varshagarg@cdnsol.com,Varsha Garg,Team Contact,Indore,Indore software dev; VERIFIED rendered on cdnsol.com/team (WebFetch-confirmed); MX OK
,EngineerBabu,mayank@engineerbabu.com,Mayank,Business Contact,Indore,Indore software/product dev; VERIFIED rendered on engineerbabu.com footer (WebFetch-confirmed); MX OK
,EngineerBabu,aanchal@engineerbabu.com,Aanchal,Business Contact,Indore,Indore software/product dev; VERIFIED rendered on engineerbabu.com footer (WebFetch-confirmed); MX OK
