#,Company,Email,Person,Title,City,Notes
,Pixerio,careers@pixerio.com,Careers Desk,Recruitment,Kota,Kota software/web dev; VERIFIED printed on pixerio.com/careers; MX OK
,Pixerio,info@pixerio.com,Corporate Office,General,Kota,Kota software/web dev; VERIFIED printed on pixerio.com; MX OK
,Webi7 Digital Media,info@webi7.com,Corporate Office,General,Kota,Kota web dev/digital marketing; VERIFIED printed on webi7.com; MX OK
,Gosotek Technologies,careers@gosotek.com,Careers Desk,Recruitment,Kota,Kota mobile app/web dev; VERIFIED printed on gosotek.com/careers; MX OK
,Gosotek Technologies,connect@gosotek.com,Contact Desk,General,Kota,Kota mobile app/web dev; VERIFIED printed on gosotek.com; MX OK
,Kriscent Techno Hub,info@kriscent.in,Corporate Office,General,Kota,Kota software/web dev (est. 2014); VERIFIED printed on kriscent.in; MX OK
,Infigo Software,contact@infigosoftware.in,Contact Desk,General,Kota,Kota web design/dev (est. 2010); VERIFIED printed on infigosoftware.in; MX OK
,Meet Digital Solutions,info@meetdigitalsolutions.com,Corporate Office,General,Kota,Kota web dev/digital marketing; VERIFIED printed on meetdigitalsolutions.com; MX OK
,Sopan Digital,care@sopandigital.in,Care Desk,General,Kota,Kota digital marketing/web dev; VERIFIED printed on sopandigital.com; MX OK
,HMG IT Solutions,info@hmgits.com,Corporate Office,IT Services & Software Solutions,Kota,Kota Rajasthan IT/Software consulting & web design; VERIFIED printed on hmgits.com; MX OK
,HMG IT Solutions,hmgits@gmail.com,Support Desk,IT Services Support,Kota,Kota Rajasthan IT firm support desk contact; VERIFIED printed on hmgits.com
,Kwatha Enterprises,kwathaenterprises@gmail.com,Business Desk,Software Development & Consulting,Kota,Kota Rajasthan software development agency; VERIFIED printed on kwatha.com
,Webstack Make Solution,makesolution000@gmail.com,Support Desk,Web Solutions Support,Kota,Kota Rajasthan web dev agency support contact; VERIFIED printed on makesolution.in
,Websoft Resolution Softwares,hukamsinghhada46@gmail.com,Hukam Singh Hada,Founder / Admin Desk,Kota,Kota Rajasthan software & web services agency; VERIFIED on websoftresolution.com
,WORTHHIT ENTERPRISES,farhannagori7878@gmail.com,Farhan Nagori,Corporate Office / Owner,Kota,Kota Rajasthan IT & digital solutions firm; VERIFIED on Google Business listing
,Bhuvnesh Infotech,bhuvneshjaiswal652@gmail.com,Bhuvnesh Jaiswal,Owner / Admin,Kota,Kota Rajasthan web design & software solutions; VERIFIED on bhuvneshinfotech.com
,Gradient Softech,info@gradientsoftech.com,Corporate Office,Software Development & ERP,Kota,Kota Rajasthan IT firm specializing in custom ERP & software; VERIFIED on gradientsoftech.com; MX OK
,TechlyCodes,info@techlycodes.com,Corporate Office,Web Development & IT Services,Kota,Kota Rajasthan software & mobile app development agency; VERIFIED on techlycodes.com; MX OK
,Extralogics IT Solutions,info@extralogics.com,Hiring Team,General,Kota,Kota - software/web dev company; site-verified 2026-07
,W3ITEXPERTS,sales@w3itexperts.com,Hiring Team,General,Kota,Kota - software/web dev company; site-verified 2026-07
,Websoft Resolution,websoftresolution@gmail.com,Hiring Team,General,Kota,Kota - software/web dev company; site-verified 2026-07
,CodeArrest Softwares,sales@codearrest.com,Hiring Team,General,Kota,Kota - software/web dev company; site-verified 2026-07
,TWS Technology,info@twstechnology.in,Hiring Team,General,Kota,Kota - software/web dev company; site-verified 2026-07
