#,Company,Email,Person,Title,City,Notes
,Esferasoft Solutions,hr@esferasoft.com,HR Team,HR,Mohali,Mohali; VERIFIED HR email (published on esferasoft.com/contact-us); MX OK
,Esferasoft Solutions,info@esferasoft.com,Info Team,General,Mohali,Mohali; VERIFIED general email (published); MX OK
,Antier Solutions,hr@antier.com,HR Team,Recruitment,Mohali,Mohali SME blockchain; VERIFIED printed on antiersolutions.com/contact-us (cf-decoded); MX OK
,Antier Solutions,contact@antier.com,Contact Desk,General,Mohali,Mohali SME; VERIFIED printed on antiersolutions.com/contact-us (cf-decoded); MX OK
,Antier Solutions,info@antier.com,Corporate Office,General,Mohali,Mohali SME; VERIFIED printed on antiersolutions.com/contact-us (cf-decoded); MX OK
,Antier Solutions,marketing@antier.com,Marketing Desk,Marketing,Mohali,Mohali SME; VERIFIED printed on antiersolutions.com/contact-us (cf-decoded); MX OK
,Talentelgia Technologies,info@talentelgia.com,Corporate Office,General,Mohali,Mohali SME; VERIFIED printed on talentelgia.com/contact-us (mailto); MX OK
,Apptunix,sales@apptunix.com,Sales Team,Sales,Mohali,Mohali SME; VERIFIED printed on apptunix.com/contact-us (mailto); MX OK
,Signity Solutions,careers@signitysolutions.com,Careers Desk,Recruitment,Mohali,Mohali software dev; VERIFIED printed on signitysolutions.com/careers; MX OK
,Uniotec IT Pvt. Ltd.,divyagill19081988@gmail.com,Divya Gill,Project Head,Mohali,Chandigarh
